P: (282 808 392 0 0 3.1416)   ErrorVisual_T:3.46914   ErrorVisual_R:0.0054217   ErrorDirecto_T:0.00354061   ErrorDirecto_R: 3.37538e-07   END: 25   WHY?: LOW_ERROR
P: (140 784 395 0 0 3.1416)   ErrorVisual_T:3.65618   ErrorVisual_R:0.00369038   ErrorDirecto_T:0.00428635   ErrorDirecto_R: 2.54894e-07   END: 25   WHY?: LOW_ERROR
P: (150 797 381 0 0 3.1416)   ErrorVisual_T:3.59251   ErrorVisual_R:0.00315244   ErrorDirecto_T:0.000437572   ErrorDirecto_R: 2.54312e-08   END: 23   WHY?: LOW_ERROR
P: (184 825 395 0 0 3.1416)   ErrorVisual_T:3.36578   ErrorVisual_R:0.00286272   ErrorDirecto_T:0.000515415   ErrorDirecto_R: 4.61247e-08   END: 23   WHY?: LOW_ERROR
P: (140 837 371 0 0 3.1416)   ErrorVisual_T:2.99629   ErrorVisual_R:0.00178492   ErrorDirecto_T:0.00196441   ErrorDirecto_R: 4.29343e-07   END: 19   WHY?: LOW_ERROR
P: (176 787 380 0 0 3.1416)   ErrorVisual_T:3.17569   ErrorVisual_R:0.00154963   ErrorDirecto_T:0.000751981   ErrorDirecto_R: 5.01438e-08   END: 23   WHY?: LOW_ERROR
P: (179 817 383 0 0 3.1416)   ErrorVisual_T:3.74882   ErrorVisual_R:0.00201598   ErrorDirecto_T:0.000383589   ErrorDirecto_R: 2.82513e-08   END: 23   WHY?: LOW_ERROR
P: (142 827 395 0 0 3.1416)   ErrorVisual_T:3.52188   ErrorVisual_R:0.0024864   ErrorDirecto_T:0.00148033   ErrorDirecto_R: 1.90048e-07   END: 23   WHY?: LOW_ERROR
P: (295 830 387 0 0 3.1416)   ErrorVisual_T:3.15524   ErrorVisual_R:0.0058195   ErrorDirecto_T:0.00411197   ErrorDirecto_R: 4.011e-07   END: 23   WHY?: LOW_ERROR
P: (207 839 383 0 0 3.1416)   ErrorVisual_T:2.90667   ErrorVisual_R:0.00177285   ErrorDirecto_T:0.000681811   ErrorDirecto_R: 6.57726e-08   END: 19   WHY?: LOW_ERROR
P: (290 782 399 0 0 3.1416)   ErrorVisual_T:2.87272   ErrorVisual_R:0.00339355   ErrorDirecto_T:0.00101768   ErrorDirecto_R: 4.81118e-08   END: 29   WHY?: LOW_ERROR
P: (267 818 378 0 0 3.1416)   ErrorVisual_T:2.26996   ErrorVisual_R:0.00559796   ErrorDirecto_T:0.00257367   ErrorDirecto_R: 2.55323e-07   END: 23   WHY?: LOW_ERROR
P: (298 827 372 0 0 3.1416)   ErrorVisual_T:2.12841   ErrorVisual_R:0.00700931   ErrorDirecto_T:0.00309292   ErrorDirecto_R: 3.83306e-07   END: 23   WHY?: LOW_ERROR
P: (227 815 400 0 0 3.1416)   ErrorVisual_T:1.92713   ErrorVisual_R:0.00695643   ErrorDirecto_T:0.00127637   ErrorDirecto_R: 1.20906e-07   END: 24   WHY?: LOW_ERROR
P: (180 787 397 0 0 3.1416)   ErrorVisual_T:2.89871   ErrorVisual_R:0.00574903   ErrorDirecto_T:0.00395488   ErrorDirecto_R: 2.29637e-07   END: 25   WHY?: LOW_ERROR
P: (157 819 388 0 0 3.1416)   ErrorVisual_T:3.31491   ErrorVisual_R:0.00372631   ErrorDirecto_T:0.00300629   ErrorDirecto_R: 6.00565e-07   END: 23   WHY?: LOW_ERROR
P: (186 796 384 0 0 3.1416)   ErrorVisual_T:2.3351   ErrorVisual_R:0.0029951   ErrorDirecto_T:0.00676406   ErrorDirecto_R: 3.41803e-06   END: 20   WHY?: LOW_ERROR
P: (225 795 381 0 0 3.1416)   ErrorVisual_T:2.26495   ErrorVisual_R:0.00754752   ErrorDirecto_T:0.000859668   ErrorDirecto_R: 1.07695e-07   END: 23   WHY?: LOW_ERROR
P: (208 785 383 0 0 3.1416)   ErrorVisual_T:2.25027   ErrorVisual_R:0.00974253   ErrorDirecto_T:0.000916685   ErrorDirecto_R: 3.25861e-08   END: 23   WHY?: LOW_ERROR
P: (166 813 379 0 0 3.1416)   ErrorVisual_T:2.66696   ErrorVisual_R:0.0026583   ErrorDirecto_T:0.00509443   ErrorDirecto_R: 1.13918e-06   END: 23   WHY?: LOW_ERROR
P: (272 849 376 0 0 3.1416)   ErrorVisual_T:2.87881   ErrorVisual_R:0.00203775   ErrorDirecto_T:0.0014879   ErrorDirecto_R: 1.82597e-07   END: 23   WHY?: LOW_ERROR
P: (279 810 371 0 0 3.1416)   ErrorVisual_T:4.12393   ErrorVisual_R:0.00194581   ErrorDirecto_T:0.00291899   ErrorDirecto_R: 3.186e-07   END: 23   WHY?: LOW_ERROR
P: (155 843 379 0 0 3.1416)   ErrorVisual_T:2.31384   ErrorVisual_R:0.00245495   ErrorDirecto_T:0.00507508   ErrorDirecto_R: 1.09506e-06   END: 23   WHY?: LOW_ERROR
P: (234 838 383 0 0 3.1416)   ErrorVisual_T:2.49233   ErrorVisual_R:0.00155972   ErrorDirecto_T:0.00120362   ErrorDirecto_R: 1.2423e-07   END: 23   WHY?: LOW_ERROR
P: (180 821 383 0 0 3.1416)   ErrorVisual_T:3.89143   ErrorVisual_R:0.00241853   ErrorDirecto_T:0.000402272   ErrorDirecto_R: 3.53612e-08   END: 23   WHY?: LOW_ERROR
P: (244 817 392 0 0 3.1416)   ErrorVisual_T:3.60013   ErrorVisual_R:0.00290539   ErrorDirecto_T:0.00207146   ErrorDirecto_R: 1.77569e-07   END: 23   WHY?: LOW_ERROR
P: (159 848 399 0 0 3.1416)   ErrorVisual_T:2.75999   ErrorVisual_R:0.00286046   ErrorDirecto_T:0.00601436   ErrorDirecto_R: 1.15558e-06   END: 20   WHY?: LOW_ERROR
P: (290 826 374 0 0 3.1416)   ErrorVisual_T:3.15002   ErrorVisual_R:0.000843489   ErrorDirecto_T:0.00294767   ErrorDirecto_R: 3.38259e-07   END: 23   WHY?: LOW_ERROR
P: (159 783 389 0 0 3.1416)   ErrorVisual_T:3.3692   ErrorVisual_R:0.00269194   ErrorDirecto_T:0.00295101   ErrorDirecto_R: 1.83741e-07   END: 24   WHY?: LOW_ERROR
P: (298 782 371 0 0 3.1416)   ErrorVisual_T:3.76182   ErrorVisual_R:0.00792358   ErrorDirecto_T:0.00128273   ErrorDirecto_R: 3.35475e-07   END: 25   WHY?: LOW_ERROR
