P: (227 815 400 0 0 3.1416)   ErrorVisual_T:2.33443   ErrorVisual_R:0.00220057   ErrorDirecto_T:0.00790489   ErrorDirecto_R: 2.37177e-06   END: 25   WHY?: LOW_ERROR
P: (180 787 397 0 0 3.1416)   ErrorVisual_T:1.77353   ErrorVisual_R:0.00253396   ErrorDirecto_T:0.00352638   ErrorDirecto_R: 1.05077e-06   END: 24   WHY?: LOW_ERROR
P: (157 819 388 0 0 3.1416)   ErrorVisual_T:2.14361   ErrorVisual_R:0.00318065   ErrorDirecto_T:0.00552489   ErrorDirecto_R: 2.26397e-06   END: 25   WHY?: LOW_ERROR
P: (186 796 384 0 0 3.1416)   ErrorVisual_T:2.05781   ErrorVisual_R:0.00220934   ErrorDirecto_T:0.00206822   ErrorDirecto_R: 5.86973e-07   END: 22   WHY?: LOW_ERROR
P: (225 795 381 0 0 3.1416)   ErrorVisual_T:2.12721   ErrorVisual_R:0.00251716   ErrorDirecto_T:0.00824823   ErrorDirecto_R: 1.94144e-06   END: 24   WHY?: LOW_ERROR
P: (208 785 383 0 0 3.1416)   ErrorVisual_T:2.09898   ErrorVisual_R:0.00231964   ErrorDirecto_T:0.00340594   ErrorDirecto_R: 6.36345e-07   END: 19   WHY?: LOW_ERROR
P: (166 813 379 0 0 3.1416)   ErrorVisual_T:2.21098   ErrorVisual_R:0.00208374   ErrorDirecto_T:0.00615287   ErrorDirecto_R: 2.54902e-06   END: 25   WHY?: LOW_ERROR
P: (272 849 376 0 0 3.1416)   ErrorVisual_T:2.05134   ErrorVisual_R:0.000891367   ErrorDirecto_T:0.000516962   ErrorDirecto_R: 1.12856e-07   END: 24   WHY?: LOW_ERROR
P: (279 810 371 0 0 3.1416)   ErrorVisual_T:1.8502   ErrorVisual_R:0.00271447   ErrorDirecto_T:0.000373526   ErrorDirecto_R: 4.91581e-08   END: 24   WHY?: LOW_ERROR
P: (155 843 379 0 0 3.1416)   ErrorVisual_T:2.33805   ErrorVisual_R:0.0020302   ErrorDirecto_T:0.000307981   ErrorDirecto_R: 3.26122e-08   END: 25   WHY?: LOW_ERROR
P: (234 838 383 0 0 3.1416)   ErrorVisual_T:3.46749   ErrorVisual_R:0.00130393   ErrorDirecto_T:0.000237598   ErrorDirecto_R: 3.41204e-08   END: 19   WHY?: LOW_ERROR
P: (180 821 383 0 0 3.1416)   ErrorVisual_T:2.24024   ErrorVisual_R:0.00280036   ErrorDirecto_T:0.00712694   ErrorDirecto_R: 1.92957e-06   END: 19   WHY?: LOW_ERROR
P: (244 817 392 0 0 3.1416)   ErrorVisual_T:2.08065   ErrorVisual_R:0.00234761   ErrorDirecto_T:0.0143922   ErrorDirecto_R: 6.41317e-06   END: 24   WHY?: LOW_ERROR
P: (159 848 399 0 0 3.1416)   ErrorVisual_T:2.27846   ErrorVisual_R:0.00207936   ErrorDirecto_T:0.000297525   ErrorDirecto_R: 2.70648e-08   END: 20   WHY?: LOW_ERROR
P: (290 826 374 0 0 3.1416)   ErrorVisual_T:1.84065   ErrorVisual_R:0.00114526   ErrorDirecto_T:0.000200834   ErrorDirecto_R: 6.29643e-08   END: 24   WHY?: LOW_ERROR
P: (159 783 389 0 0 3.1416)   ErrorVisual_T:1.89393   ErrorVisual_R:0.00262139   ErrorDirecto_T:0.00859115   ErrorDirecto_R: 1.78356e-06   END: 25   WHY?: LOW_ERROR
P: (298 782 371 0 0 3.1416)   ErrorVisual_T:2.23608   ErrorVisual_R:0.00247951   ErrorDirecto_T:0.001054   ErrorDirecto_R: 9.90579e-08   END: 24   WHY?: LOW_ERROR
